Timestamp,FC,Physical activity,Sleep time,Eating outside,money on food per day,BLD,afternoon nap
2023/04/17 9:52:05 PM GMT+5:30,Non-vegetarian,6.5,5.5,5,275,Breakfast,Yes
2023/04/17 9:56:33 PM GMT+5:30,Non-vegetarian,3,7,30,6000,Lunch,Yes
2023/04/17 9:57:52 PM GMT+5:30,Non-vegetarian,4,6,4,1000,Breakfast,No
2023/04/17 9:58:59 PM GMT+5:30,Non-vegetarian,5,7,16,4000,Lunch,Yes
2023/04/17 10:00:23 PM GMT+5:30,Non-vegetarian,9,6,10,100,Dinner,Yes
2023/04/17 10:00:35 PM GMT+5:30,Non-vegetarian,9,6,15,150,Breakfast,Yes
2023/04/17 10:01:20 PM GMT+5:30,Non-vegetarian,2,6,10,150,Dinner,Yes
2023/04/17 10:01:49 PM GMT+5:30,Vegetarian + egg,5,6,2,190,Dinner,No
2023/04/17 10:02:02 PM GMT+5:30,Non-vegetarian,5,7,25,40,Breakfast,Yes
2023/04/17 10:02:18 PM GMT+5:30,Non-vegetarian,8,6,3,120,Dinner,No
2023/04/17 10:03:46 PM GMT+5:30,Non-vegetarian,5,8,10,40,Dinner,No
2023/04/17 10:07:02 PM GMT+5:30,Non-vegetarian,1,7,5,40,Breakfast,Yes
2023/04/17 10:08:53 PM GMT+5:30,Non-vegetarian,0,6,8,70,Dinner,Yes
2023/04/17 10:09:43 PM GMT+5:30,Vegetarian + egg,0,5,20,3000,Breakfast,No
2023/04/17 10:10:27 PM GMT+5:30,Vegetarian,7,6,5,50,Breakfast,Yes
2023/04/17 10:12:01 PM GMT+5:30,Non-vegetarian,6,8,1,30,Breakfast,Yes
2023/04/17 10:12:23 PM GMT+5:30,Vegetarian + egg,6,8,4,50,Breakfast,Yes
2023/04/17 10:15:01 PM GMT+5:30,Non-vegetarian,4,6,5,50,Breakfast,Yes
2023/04/17 10:15:38 PM GMT+5:30,Vegetarian,6,6,2,100,Breakfast,Yes
2023/04/17 10:15:43 PM GMT+5:30,Non-vegetarian,0,6,0,40,Breakfast,No
2023/04/17 10:16:50 PM GMT+5:30,Vegetarian,3,7,3,20,Dinner,Yes
2023/04/17 10:16:58 PM GMT+5:30,Non-vegetarian,0,6,30,300,Lunch,No
2023/04/17 10:17:23 PM GMT+5:30,Vegetarian + egg,15,7,7,120,Lunch,Yes
2023/04/17 10:17:42 PM GMT+5:30,Non-vegetarian,4,6,4,1000,Breakfast,Yes
2023/04/17 10:18:14 PM GMT+5:30,Non-vegetarian,1,5,13,50,Breakfast,No
2023/04/17 10:23:25 PM GMT+5:30,Vegetarian,15,6,10,200,Lunch,Yes
2023/04/17 10:24:54 PM GMT+5:30,Vegetarian,0,9,8,31,Lunch,Yes
2023/04/17 10:25:04 PM GMT+5:30,Non-vegetarian,0,7,30,5000,Breakfast,Yes
2023/04/17 10:26:14 PM GMT+5:30,Non-vegetarian,14,6,4,100,Dinner,No
2023/04/17 10:32:43 PM GMT+5:30,Non-vegetarian,3,7,8,2000,Breakfast,No
